"Statistic Label","Year","Age Group","NUTS 3 Region","UNIT","VALUE"
"Total period of fertility rate","1973","25 - 29 years","Midland","%",""
"Total period of fertility rate","1973","25 - 29 years","Mid-West","%",""
"Total period of fertility rate","1973","25 - 29 years","South-East","%",""
"Total period of fertility rate","1973","25 - 29 years","South-West","%",""
"Total period of fertility rate","1973","25 - 29 years","West","%",""
"Total period of fertility rate","1973","25 - 29 years","Ireland","%",""
"Total period of fertility rate","1973","30 - 34 years","Border","%",""
"Total period of fertility rate","1973","30 - 34 years","Dublin","%",""
"Total period of fertility rate","1973","30 - 34 years","Mid-East","%",""
"Total period of fertility rate","1973","30 - 34 years","Midland","%",""
"Total period of fertility rate","1973","30 - 34 years","Mid-West","%",""
"Total period of fertility rate","1973","30 - 34 years","South-East","%",""
"Total period of fertility rate","1973","30 - 34 years","South-West","%",""
"Total period of fertility rate","1973","30 - 34 years","West","%",""
"Total period of fertility rate","1973","30 - 34 years","Ireland","%",""
"Total period of fertility rate","1973","35 - 39 years","Border","%",""
"Total period of fertility rate","1973","35 - 39 years","Dublin","%",""
"Total period of fertility rate","1973","35 - 39 years","Mid-East","%",""
"Total period of fertility rate","1973","35 - 39 years","Midland","%",""
"Total period of fertility rate","1973","35 - 39 years","Mid-West","%",""
"Total period of fertility rate","1973","35 - 39 years","South-East","%",""
"Total period of fertility rate","1973","35 - 39 years","South-West","%",""
"Total period of fertility rate","1973","35 - 39 years","West","%",""
"Total period of fertility rate","1973","35 - 39 years","Ireland","%",""
"Total period of fertility rate","1973","40 - 44 years","Border","%",""
"Total period of fertility rate","1973","40 - 44 years","Dublin","%",""
"Total period of fertility rate","1973","40 - 44 years","Mid-East","%",""
"Total period of fertility rate","1973","40 - 44 years","Midland","%",""
"Total period of fertility rate","1973","40 - 44 years","Mid-West","%",""
"Total period of fertility rate","1973","40 - 44 years","South-East","%",""
"Total period of fertility rate","1973","40 - 44 years","South-West","%",""
"Total period of fertility rate","1973","40 - 44 years","West","%",""
"Total period of fertility rate","1973","40 - 44 years","Ireland","%",""
"Total period of fertility rate","1973","45 - 49 years","Border","%",""
"Total period of fertility rate","1973","45 - 49 years","Dublin","%",""
"Total period of fertility rate","1973","45 - 49 years","Mid-East","%",""
"Total period of fertility rate","1973","45 - 49 years","Midland","%",""
"Total period of fertility rate","1973","45 - 49 years","Mid-West","%",""
"Total period of fertility rate","1973","45 - 49 years","South-East","%",""
"Total period of fertility rate","1973","45 - 49 years","South-West","%",""
"Total period of fertility rate","1973","45 - 49 years","West","%",""
"Total period of fertility rate","1973","45 - 49 years","Ireland","%",""
"Total period of fertility rate","1974","All ages","Border","%",""
"Total period of fertility rate","1974","All ages","Dublin","%",""
"Total period of fertility rate","1974","All ages","Mid-East","%",""
"Total period of fertility rate","1974","All ages","Midland","%",""
"Total period of fertility rate","1974","All ages","Mid-West","%",""
"Total period of fertility rate","1974","All ages","South-East","%",""
"Total period of fertility rate","1974","All ages","South-West","%",""
"Total period of fertility rate","1974","All ages","West","%",""
"Total period of fertility rate","1974","All ages","Ireland","%","3.62"
"Total period of fertility rate","1974","15 - 19 years","Border","%",""
"Total period of fertility rate","1974","15 - 19 years","Dublin","%",""
"Total period of fertility rate","1974","15 - 19 years","Mid-East","%",""
"Total period of fertility rate","1974","15 - 19 years","Midland","%",""
"Total period of fertility rate","1974","15 - 19 years","Mid-West","%",""
"Total period of fertility rate","1974","15 - 19 years","South-East","%",""
"Total period of fertility rate","1974","15 - 19 years","South-West","%",""
"Total period of fertility rate","1974","15 - 19 years","West","%",""
"Total period of fertility rate","1974","15 - 19 years","Ireland","%",""
"Total period of fertility rate","1974","20 - 24 years","Border","%",""
"Total period of fertility rate","1974","20 - 24 years","Dublin","%",""
"Total period of fertility rate","1974","20 - 24 years","Mid-East","%",""
"Total period of fertility rate","1974","20 - 24 years","Midland","%",""
"Total period of fertility rate","1974","20 - 24 years","Mid-West","%",""
"Total period of fertility rate","1974","20 - 24 years","South-East","%",""
"Total period of fertility rate","1974","20 - 24 years","South-West","%",""
"Total period of fertility rate","1974","20 - 24 years","West","%",""
"Total period of fertility rate","1974","20 - 24 years","Ireland","%",""
"Total period of fertility rate","1974","25 - 29 years","Border","%",""
"Total period of fertility rate","1974","25 - 29 years","Dublin","%",""
"Total period of fertility rate","1974","25 - 29 years","Mid-East","%",""
"Total period of fertility rate","1974","25 - 29 years","Midland","%",""
"Total period of fertility rate","1974","25 - 29 years","Mid-West","%",""
"Total period of fertility rate","1974","25 - 29 years","South-East","%",""
"Total period of fertility rate","1974","25 - 29 years","South-West","%",""
"Total period of fertility rate","1974","25 - 29 years","West","%",""
"Total period of fertility rate","1974","25 - 29 years","Ireland","%",""
"Total period of fertility rate","1974","30 - 34 years","Border","%",""
"Total period of fertility rate","1974","30 - 34 years","Dublin","%",""
"Total period of fertility rate","1974","30 - 34 years","Mid-East","%",""
"Total period of fertility rate","1974","30 - 34 years","Midland","%",""
"Total period of fertility rate","1974","30 - 34 years","Mid-West","%",""
"Total period of fertility rate","1974","30 - 34 years","South-East","%",""
"Total period of fertility rate","1974","30 - 34 years","South-West","%",""
"Total period of fertility rate","1974","30 - 34 years","West","%",""
"Total period of fertility rate","1974","30 - 34 years","Ireland","%",""
"Total period of fertility rate","1974","35 - 39 years","Border","%",""
"Total period of fertility rate","1974","35 - 39 years","Dublin","%",""
"Total period of fertility rate","1974","35 - 39 years","Mid-East","%",""
"Total period of fertility rate","1974","35 - 39 years","Midland","%",""
"Total period of fertility rate","1974","35 - 39 years","Mid-West","%",""
"Total period of fertility rate","1974","35 - 39 years","South-East","%",""
"Total period of fertility rate","1974","35 - 39 years","South-West","%",""
"Total period of fertility rate","1974","35 - 39 years","West","%",""
"Total period of fertility rate","1974","35 - 39 years","Ireland","%",""
"Total period of fertility rate","1974","40 - 44 years","Border","%",""
"Total period of fertility rate","1974","40 - 44 years","Dublin","%",""
"Total period of fertility rate","1974","40 - 44 years","Mid-East","%",""
"Total period of fertility rate","1974","40 - 44 years","Midland","%",""
"Total period of fertility rate","1974","40 - 44 years","Mid-West","%",""
"Total period of fertility rate","1974","40 - 44 years","South-East","%",""
